date,close,volume,open,high,low
2019/06/28,1080.91,1693450,1076.39,1081,1073.37
2019/06/27,1076.01,1004477,1084,1087.1,1075.29
2019/06/26,1079.8,1810869,1086.5,1092.97,1072.24
2019/06/25,1086.35,1546913,1112.66,1114.35,1083.8
2019/06/24,1115.52,1395696,1119.61,1122,1111.01
